club,date,weekday,iso_week,year,occupancy_pct
Game4Padel Richmond,2026-04-18,Saturday,16,2026,84.6
Game4Padel Richmond,2026-04-19,Sunday,16,2026,92.3
Game4Padel Richmond,2026-04-20,Monday,17,2026,88.6
Game4Padel Richmond,2026-04-21,Tuesday,17,2026,78.6
Game4Padel Richmond,2026-04-22,Wednesday,17,2026,92.9
Game4Padel Richmond,2026-04-23,Thursday,17,2026,92.9
Game4Padel Richmond,2026-04-24,Friday,17,2026,92.9
Game4Padel Richmond,2026-04-25,Saturday,17,2026,92.3
Game4Padel Richmond,2026-04-26,Sunday,17,2026,92.3
Game4Padel Richmond,2026-04-27,Monday,18,2026,0.0
Game4Padel Richmond,2026-04-28,Tuesday,18,2026,0.0
Game4Padel Richmond,2026-04-29,Wednesday,18,2026,0.0
Game4Padel Richmond,2026-04-30,Thursday,18,2026,0.0
Game4Padel Richmond,2026-05-01,Friday,18,2026,0.0
